extract.id,document.id,document.year
1073,493,1927
1074,493,1927
1075,493,1927
1076,494,1921
1077,494,1921
1078,495,1993
1079,496,1921
1080,497,1964
1081,497,1964
1082,497,1964
1083,497,1964
1084,497,1964
1085,497,1964
1086,497,1964
1087,497,1964
1088,497,1964
1089,498,1987
1090,499,1949
1091,499,1949
1092,499,1949
1093,500,1924
1094,500,1924
1095,500,1924
1096,500,1924
1097,501,1969
1098,501,1969
1099,501,1969
1100,501,1969
1101,502,1944
1102,504,1937
1103,505,1964
1104,506,1993
1105,507,2000
1106,508,1956
1107,509,2006
1108,510,1928
1109,511,1931
1110,511,1931
1111,511,1931
1112,512,1991
1113,513,1953
1114,514,1927
1115,514,1927
1116,514,1927
1117,515,1963
1118,515,1963
1119,516,1981
1120,517,1974
1121,517,1974
1122,518,1960
1123,519,1999
1124,520,1956
1125,520,1956
1126,521,1956
1127,521,1956
1128,522,1924
1129,522,1924
1130,522,1924
1131,522,1924
1132,522,1924
1133,523,1937
1134,523,1937
1135,523,1937
1136,523,1937
1137,525,1961
1138,526,1973
1139,526,1973
1140,526,1973
1141,526,1973
1142,526,1973
1143,527,1961
1144,527,1961
1145,530,1946
1146,531,1947
1147,531,1947
1148,531,1947
1149,531,1947
1150,532,1921
1151,534,1973
1152,534,1973
1153,534,1973
1154,534,1973
1155,534,1973
1156,534,1973
1157,534,1973
1158,534,1973
1159,534,1973
1160,534,1973
1161,534,1973
1162,534,1973
1163,535,1856
1164,535,1856
1165,535,1856
1166,536,1933
1167,536,1933
1168,536,1933
1169,536,1933
1170,536,1933
1171,536,1933
1172,536,1933
1173,536,1933
1174,536,1933
1175,536,1933
1176,537,1956
1177,537,1956
1178,537,1956
1179,538,1960
1180,538,1960
1181,538,1960
1182,539,1963
1183,540,1943
1184,540,1943
1185,540,1943
1186,540,1943
1187,540,1943
1188,540,1943
1189,540,1943
1190,540,1943
1191,540,1943
1192,540,1943
1193,540,1943
1194,540,1943
1195,540,1943
1196,540,1943
1197,540,1943
1198,540,1943
1199,540,1943
1200,540,1943
1201,540,1943
1202,540,1943
1203,540,1943
1204,540,1943
1205,540,1943
1206,540,1943
1207,540,1943
1208,540,1943
1209,540,1943
1210,540,1943
1211,540,1943
1212,540,1943
1213,540,1943
1214,540,1943
1215,540,1943
1216,540,1943
1217,540,1943
1218,540,1943
1219,540,1943
1220,540,1943
1221,540,1943
1222,540,1943
1223,540,1943
1224,540,1943
1225,540,1943
1226,540,1943
1227,540,1943
1228,540,1943
1229,540,1943
1230,540,1943
1231,540,1943
1232,540,1943
1233,540,1943
1234,540,1943
1235,540,1943
1236,540,1943
1237,540,1943
1238,540,1943
1239,540,1943
1240,540,1943
1241,540,1943
1242,540,1943
1243,540,1943
1244,540,1943
1245,541,1947
1246,541,1947
1247,541,1947
1248,541,1947
1249,541,1947
1250,541,1947
1251,541,1947
1252,541,1947
1253,541,1947
1254,541,1947
1255,541,1947
1256,541,1947
1257,541,1947
1258,541,1947
1259,541,1947
1260,542,1960
1261,542,1960
1262,542,1960
1263,542,1960
1264,542,1960
1265,542,1960
1266,543,1972
1267,543,1972
1268,544,1975
1269,544,1975
1270,545,1991
1271,546,1982
1272,546,1982
1273,547,1990
1274,547,1990
1275,547,1990
1276,547,1990
1277,547,1990
1278,547,1990
1279,548,1963
1280,548,1963
1281,549,1906
1282,549,1906
1283,549,1906
1284,550,1986
1285,550,1986
1286,551,1863
1287,552,1978
1288,553,1911
1289,554,1949
1290,554,1949
1291,555,1936
1292,556,1938
1293,556,1938
1294,556,1938
1295,556,1938
1296,556,1938
1297,556,1938
1298,557,1960
1299,558,1975
1300,558,1975
1301,559,1977
1302,560,1964
1303,561,1952
1304,561,1952
1305,562,1952
1306,563,1960
1307,563,1960
1308,564,1985
1309,566,1922
1310,567,2008
1311,567,2008
1312,567,2008
1313,569,1950
1314,570,2008
1315,570,2008
1316,570,2008
1317,571,1988
1318,571,1988
1319,572,1985
1320,574,2004
1321,574,2004
1322,575,1979
1323,576,1865
1324,576,1865
1325,576,1865
1326,576,1865
1327,576,1865
1328,576,1865
1329,576,1865
1330,576,1865
1331,576,1865
1332,576,1865
1333,576,1865
1334,576,1865
1335,576,1865
1336,576,1865
1337,576,1865
1338,576,1865
1339,576,1865
1340,577,1865
1341,577,1865
1342,577,1865
1343,577,1865
1344,578,1950
1345,579,1907
1346,579,1907
1347,579,1907
1348,579,1907
1349,579,1907
1350,579,1907
1351,580,1964
1352,580,1964
1353,580,1964
1354,581,1990
1355,581,1990
1356,581,1990
1357,581,1990
1358,581,1990
1359,581,1990
1360,581,1990
1361,581,1990
1362,581,1990
1363,581,1990
1364,581,1990
1365,581,1990
1366,581,1990
1367,581,1990
1368,582,1881
1369,583,1989
1370,583,1989
1371,583,1989
1372,584,1992
1373,584,1992
1374,584,1992
1375,584,1992
1376,584,1992
1377,585,1878
1378,586,1982
1379,586,1982
1380,587,1949
1381,587,1949
1382,587,1949
1383,587,1949
1384,587,1949
1385,588,1942
1386,588,1942
1387,588,1942
